Latinobarometro,encuesta,categorias,Categorias_2
"P29ST_H- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. La inteligencia artificial y la robótica harán desaparecer más puestos de trabajo que los que creará",Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P22ST_A- ¿Diría Ud. que los argentinos cumplen las leyes?,Latinobarometro,opinion,Opinion
P22ST_B- ¿Diría Ud. que los argentinos Son exigentes de sus derechos?,Latinobarometro,opinion,Opinion
P22ST_C- ¿Diría Ud. que los argentinos Son concientes de sus obligaciones y deberes?,Latinobarometro,opinion,Opinion
P22ST_D- ¿Diría Ud. que los argentinos Son iguales ante la ley?,Latinobarometro,opinion,Opinion
P23N- De la siguiente lista me podría decir ¿quienes son los que Ud. cree que cumplen con las leyes en argentina?,Latinobarometro,opinion,Opinion
"P30ST_A- ¿Tiene Ud. una opinión muy favorable (1), algo favorable (2), algo desfavorable (3) o muy desfavorable (4) opinión sobre EEUU, Estados Unidos?",Latinobarometro,relaciones internacionales,Relaciones internacionales
"P30ST_B- ¿Tiene Ud. una opinión muy favorable (1), algo favorable (2), algo desfavorable (3) o muy desfavorable (4) opinión sobre Rusia?",Latinobarometro,relaciones internacionales,Relaciones internacionales
"P30ST_C- ¿Tiene Ud. una opinión muy favorable (1), algo favorable (2), algo desfavorable (3) o muy desfavorable (4) opinión sobre China?",Latinobarometro,relaciones internacionales,Relaciones internacionales
"P30ST_D- ¿Tiene Ud. una opinión muy favorable (1), algo favorable (2), algo desfavorable (3) o muy desfavorable (4) opinión sobre Unión Europea?",Latinobarometro,relaciones internacionales,Relaciones internacionales
"P30ST_E- ¿Tiene Ud. una opinión muy favorable (1), algo favorable (2), algo desfavorable (3) o muy desfavorable (4) opinión sobre Cuba?",Latinobarometro,relaciones internacionales,Relaciones internacionales
"P30ST_F- ¿Tiene Ud. una opinión muy favorable (1), algo favorable (2), algo desfavorable (3) o muy desfavorable (4) opinión sobre Venezuela?",Latinobarometro,relaciones internacionales,Relaciones internacionales
P31ST_A- ¿Y cómo calificaría Ud. las relaciones entre Argentina y los Estados Unidos? ¿Diría Ud. que son....?,Latinobarometro,relaciones internacionales,Relaciones internacionales
P31ST_B- ¿Y cómo calificaría Ud. las relaciones entre Argentina y Rusia? ¿Diría Ud. que son....?,Latinobarometro,relaciones internacionales,Relaciones internacionales
P31ST_C- ¿Y cómo calificaría Ud. las relaciones entre Argentina y China? ¿Diría Ud. que son....?,Latinobarometro,relaciones internacionales,Relaciones internacionales
P31ST_D- ¿Y cómo calificaría Ud. las relaciones entre Argentina y la Unión Europea? ¿Diría Ud. que son....?,Latinobarometro,relaciones internacionales,Relaciones internacionales
P31ST_E- ¿Y cómo calificaría Ud. las relaciones entre Argentina y Venezuela?? ¿Diría Ud. que son....?,Latinobarometro,relaciones internacionales,Relaciones internacionales
"P25N- ¿Por lo que Ud sabe o ha oido, cree Ud que la integración de argentina con otros países de la región ha aumentado mucho, ha aumentado algo, ha disminuido algo o ha disminuido mucho entre 2015 y 2020?",Latinobarometro,relaciones internacionales,Relaciones internacionales
P33N- ¿Cuál es la mayor ventaja del comercio con China?,Latinobarometro,economia,Economia
P34N- ¿Cuál es la mayor desventaja del comercio con China?,Latinobarometro,economia,Economia
"P35N_A- Tomando todo en cuenta ¿diría Ud que la influencia de EEUU en argentina es mas bien positiva, o más bien negativa?",Latinobarometro,relaciones internacionales,Relaciones internacionales
"P35N_B- Tomando todo en cuenta ¿diría Ud que la influencia de China en argentina es mas bien positiva, o más bien negativa?",Latinobarometro,relaciones internacionales,Relaciones internacionales
P41N- ¿Como evalúa Ud en general la capacidad que ha tenido argentina para combatir la pandemia durante 2020?,Latinobarometro,opinion,Opinion
"P36N_A- ¿cuánta confianza tiene usted en Las Fuerzas Armadas de los Estados Unidos: mucha (1), algo (2), poca (3) o ninguna (4)?",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P36N_B- ¿cuánta confianza tiene usted en Las Fuerzas Armadas de Chinas: mucha (1), algo (2), poca (3) o ninguna (4)?",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P42N- Imagínese que el estado tiene dos soluciones y tiene que elegir una sola. Una es entregarle recursos a la policía para que ellos combatan la delincuencia. La segunda es entregarle los recursos a la gente para que cada cual pueda combatir la delincuencia en su barrio con alarmas, seguridad privada etc. ¿Cuál prefiere Ud.?",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P37N_A- Por favor, para la siguiente afirmación sobre los inmigrantes,las personas de otros países que vienen a vivir a argentina deme su opinion, lo encuentra muy positivo (1), algo positivo (2), algo negativo (3), muy negativo (4): Recibir inmigrantes de países fuera de América Latina",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P37N_B- Por favor, para la siguiente afirmación sobre los inmigrantes,las personas de otros países que vienen a vivir a argentina deme su opinion, lo encuentra muy positivo (1), algo positivo (2), algo negativo (3), muy negativo (4): Recibir inmigrantes de América Latina",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P37N_C- Por favor, para la siguiente afirmación sobre los inmigrantes,las personas de otros países que vienen a vivir a argentina deme su opinion, lo encuentra muy positivo (1), algo positivo (2), algo negativo (3), muy negativo (4): Recibir inmigrantes de Haití",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P37N_D- Por favor, para la siguiente afirmación sobre los inmigrantes,las personas de otros países que vienen a vivir a argentina deme su opinion, lo encuentra muy positivo (1), algo positivo (2), algo negativo (3), muy negativo (4): Recibir inmigrantes de Venezuela",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
P46STGBS- ¿Cuán interesado está Ud. en la política?,Latinobarometro,opinion,Opinion
P47ST_A- ¿Hasta qué punto la libertad para participar en política está garantizada en Argentina?,Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
P47ST_B- ¿Hasta qué punto la libertad para elegir mi oficio/profesión está garantizada en Argentina?,Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
P47ST_C- ¿Hasta qué punto la protección del medio ambiente está garantizada en Argentina?,Latinobarometro,opinion,Opinion
P47ST_D- ¿Hasta qué punto la protección de la propiedad privada está garantizada en Argentina?,Latinobarometro,opinion,Opinion
P47ST_E- ¿Hasta qué punto la justa distribución de la riqueza está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P47ST_F- ¿Hasta qué punto la igualdad entre hombres y mujeres está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P47ST_G- ¿Hasta qué punto la igualdad de oportunidades sin importar el origen de cada cual está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P47ST_H- ¿Hasta qué punto la libertad de expresión siempre y en todas partes está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P47ST_I- ¿Hasta qué punto la libertad de profesar cualquier religión está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P47ST_J- ¿Hasta qué punto la protección contra el crimen está garantizada en Argentina?,Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
P47ST_K- ¿Hasta qué punto la seguridad social está garantizada en Argentina?,Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
P47ST_L- ¿Hasta qué punto la solidaridad con los pobres y los necesitados está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P47ST_M- ¿Hasta qué punto la oportunidades de conseguir trabajo está garantizada en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P48ST- ¿Quién cree Ud. que tiene más poder en Argentina?,Latinobarometro,opinion,Opinion
P49STGBS- ¿Hay algún partido político hacia el cual se sienta Usted más cercano que hacia el resto de los partidos?,Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
"P60N_B- ¿Y Ud, diría que si expresa públicamente sus opiniones acerca de los problemas del país, podría tener consecuencias negativas para Ud?",Latinobarometro,opinion,Opinion
"P69ST- ¿En su opinión, del 2019 al 2020, el nivel de corrupción en Argentina ha aumentado mucho (1), aumentado algo (2), se ha mantenido igual (3), disminuyó algo (4) o disminuyó mucho (5)?",Latinobarometro,opinion,Opinion
P70ST- ¿Cuánto cree Ud. que se ha progresado en reducir la corrupción en las instituciones del Estado Argentino entre 2018 y 2020?,Latinobarometro,corrupcion - confianza en insitituciones,Democracia - Derechos
